Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
JARDIM CAMBURI,VITORIA,Espírito Santo,101224,25995,139,25845,8166,67063
JARDIM DA PENHA,VITORIA,Espírito Santo,63767,17495,113,17375,4778,41494
PRAIA DA COSTA,VILA VELHA,Espírito Santo,58433,18793,215,18564,3520,36120
Não Encontrado,SERRA,Espírito Santo,46175,702,10,690,534,44939
ITAPOÃ,VILA VELHA,Espírito Santo,38568,11507,107,11393,2257,24804
PRAIA DO CANTO,VITORIA,Espírito Santo,37141,11473,103,11360,1870,23798
PRAIA DE ITAPARICA,VILA VELHA,Espírito Santo,35684,10719,94,10620,1915,23050
Não Encontrado,CARIACICA,Espírito Santo,33421,5928,29,5357,6648,20845
FEU ROSA,SERRA,Espírito Santo,28396,6095,77,6011,1795,20506
GURIRI,SAO MATEUS,Espírito Santo,28270,7301,57,7234,3478,17491
COLINA DE LARANJEIRAS,SERRA,Espírito Santo,27989,7224,39,7178,991,19774
MATA DA PRAIA,VITORIA,Espírito Santo,26009,7435,54,7374,1470,17104
MORADA DE LARANJEIRAS,SERRA,Espírito Santo,25390,6257,33,6204,856,18277
INTERLAGOS,LINHARES,Espírito Santo,24330,7321,83,7236,1844,15165
CENTRO,VITORIA,Espírito Santo,20833,5309,55,5251,1875,13649
MARIA ORTIZ,VITORIA,Espírito Santo,20683,5150,51,5093,2314,13219
BAIRRO DAS LARANJEIRAS,SERRA,Espírito Santo,20457,4689,85,4595,667,15101
BARCELONA,SERRA,Espírito Santo,20085,4907,59,4842,867,14311
COQUEIRAL DE ITAPARICA,VILA VELHA,Espírito Santo,19653,5712,67,5642,1235,12706
NOVA ROSA DA PENHA,CARIACICA,Espírito Santo,19008,4091,60,3755,5644,9273
CAMPO GRANDE,CARIACICA,Espírito Santo,18675,4674,86,4105,4712,9289
NOVO HORIZONTE,SERRA,Espírito Santo,18415,4009,35,3974,1855,12551
VILA NOVA DE COLARES,SERRA,Espírito Santo,18347,3619,47,3568,1388,13340
JARDIM CARAPINA,SERRA,Espírito Santo,17756,3678,37,3634,1785,12293
JARDIM LIMOEIRO,SERRA,Espírito Santo,17511,4441,40,4397,782,12288
PLANALTO SERRANO,SERRA,Espírito Santo,17200,3544,52,3489,1774,11882
ALTO LAGE,CARIACICA,Espírito Santo,16856,3707,91,3344,5238,7911
Não Encontrado,VILA VELHA,Espírito Santo,16762,1512,9,1501,558,14692
PRAIA DO MORRO,GUARAPARI,Espírito Santo,16690,5545,75,5446,970,10175
ATAÍDE,VILA VELHA,Espírito Santo,16390,4601,68,4531,1103,10686
BENTO FERREIRA,VITORIA,Espírito Santo,15722,4458,23,4427,944,10320
CIDADE CONTINENTAL,SERRA,Espírito Santo,15402,4025,55,3965,889,10488
ITARARÉ,VITORIA,Espírito Santo,15305,3596,39,3553,2072,9637
VALPARAÍSO,SERRA,Espírito Santo,15249,3869,23,3845,559,10821
Não Encontrado,VITORIA,Espírito Santo,14937,15,0,10,737,14185
MARCÍLIO DE NORONHA,VIANA,Espírito Santo,14897,4132,58,3963,1567,9198
CARAPINA GRANDE,SERRA,Espírito Santo,14840,3505,44,3457,1019,10316
SANTO ANTÔNIO,VITORIA,Espírito Santo,14366,3661,57,3602,1436,9269
NOVA CARAPINA I,SERRA,Espírito Santo,14187,3160,46,3108,1015,10012
JARDIM TROPICAL,SERRA,Espírito Santo,13096,2953,41,2911,1551,8592
PLANALTO,LINHARES,Espírito Santo,13061,3502,18,3484,1072,8487
GLÓRIA,VILA VELHA,Espírito Santo,13032,3493,57,3433,1026,8513
CENTRO,DOMINGOS MARTINS,Espírito Santo,12993,3497,28,3467,20,9476
AVISO,LINHARES,Espírito Santo,12972,3742,33,3708,1032,8198
ARIBIRÍ,VILA VELHA,Espírito Santo,12777,3544,53,3487,892,8341
BARRAMARES,VILA VELHA,Espírito Santo,12636,2664,22,2639,653,9319
TABUAZEIRO,VITORIA,Espírito Santo,12384,2748,29,2718,1763,7873
CENTRO,VILA VELHA,Espírito Santo,12237,3849,84,3763,781,7607
BEBEDOURO - CENTRO,LINHARES,Espírito Santo,12158,3389,28,3360,1193,7576
ELDORADO,SERRA,Espírito Santo,12063,2878,45,2826,581,8604
JOSÉ DE ANCHIETA I,SERRA,Espírito Santo,11868,2706,41,2662,960,8202
CENTRO,LINHARES,Espírito Santo,11767,3676,38,3638,766,7325
VALE ENCANTADO,VILA VELHA,Espírito Santo,11675,3153,35,3114,1099,7423
CENTRO,SANTA MARIA DE JETIBA,Espírito Santo,11661,3599,24,3557,314,7748
PARQUE RESIDENCIAL LARANJEIRAS,SERRA,Espírito Santo,11660,3098,39,3055,538,8024
Não Encontrado,MONTANHA,Espírito Santo,11482,3576,32,3499,687,7219
JARDIM AMÉRICA,CARIACICA,Espírito Santo,11236,2771,48,2435,2414,6051
RIO MARINHO,VILA VELHA,Espírito Santo,11197,3037,48,2983,831,7329
BONFIM,VITORIA,Espírito Santo,11087,2340,29,2307,1776,6971
SANTA MARTHA,VITORIA,Espírito Santo,10954,2752,32,2718,1415,6787
COBILÂNDIA,VILA VELHA,Espírito Santo,10936,3051,48,3003,779,7106
SOTECO,VILA VELHA,Espírito Santo,10700,2987,51,2933,805,6908
BNH,LINHARES,Espírito Santo,10587,3291,39,3250,692,6604
VILA BETHÂNIA,VIANA,Espírito Santo,10550,2721,31,2622,1103,6726
PORTO DE SANTANA,CARIACICA,Espírito Santo,10548,2578,44,2289,2642,5328
IBES,VILA VELHA,Espírito Santo,10380,2699,34,2659,640,7041
SERNAMBY,SAO MATEUS,Espírito Santo,10280,2364,32,2316,1244,6672
RESISTÊNCIA,VITORIA,Espírito Santo,10146,2295,21,2272,1461,6390
NOVA PALESTINA,VITORIA,Espírito Santo,10093,2206,28,2176,1499,6388
